dataset,scenario,is_alternative,replicate,method,reject,score,runtime_sec,pvalue,posterior_null_prob,log_bf10,posterior_mean_p
synthetic_brownian,H0_true,0,0,rkbt,0,-0.49199753758635417,121.08207576628774,nan,0.6205768881243565,-0.49199753758635417,2.502
synthetic_brownian,H0_true,0,0,point_bonferroni_t,0,0.0,0.0037529245018959045,1.0,nan,nan,nan
synthetic_brownian,H0_true,0,0,global_l2,0,0.27074585082983404,0.08195838052779436,0.729254149170166,nan,nan,nan
synthetic_brownian,H0_true,0,0,global_l2_fpca,0,0.724255148970206,18.38480596244335,0.275744851029794,nan,nan,nan
synthetic_brownian,H0_true,0,0,global_f,0,0.2767446510697861,0.24911334179341793,0.7232553489302139,nan,nan,nan
synthetic_brownian,H0_true,0,0,bayes_fpca,1,0.10014177842258087,0.002248881384730339,nan,0.4749854565047249,0.10014177842258087,nan
synthetic_brownian,H1_true,1,0,rkbt,0,-0.7893465074087724,119.74017358291894,nan,0.6876909958308757,-0.7893465074087724,2.4775625
synthetic_brownian,H1_true,1,0,point_bonferroni_t,0,0.0,0.0016564661636948586,1.0,nan,nan,nan
synthetic_brownian,H1_true,1,0,global_l2,0,0.10877824435112982,0.07742380350828171,0.8912217556488702,nan,nan,nan
synthetic_brownian,H1_true,1,0,global_l2_fpca,0,0.6032793441311738,18.265404143370688,0.3967206558688262,nan,nan,nan
synthetic_brownian,H1_true,1,0,global_f,0,0.09998000399920015,0.24609693977981806,0.9000199960007998,nan,nan,nan
synthetic_brownian,H1_true,1,0,bayes_fpca,0,-0.011235186599477115,0.0016359547153115273,nan,0.5028087671041783,-0.011235186599477115,nan
synthetic_brownian,H0_true,0,1,rkbt,0,-0.7642447404920555,121.28920184355229,nan,0.6822746026246252,-0.7642447404920555,2.50465625
synthetic_brownian,H0_true,0,1,point_bonferroni_t,0,0.0,0.0016025295481085777,1.0,nan,nan,nan
synthetic_brownian,H0_true,0,1,global_l2,0,0.27994401119776047,0.07645114697515965,0.7200559888022395,nan,nan,nan
synthetic_brownian,H0_true,0,1,global_l2_fpca,0,0.21495700859828037,18.224762938916683,0.7850429914017196,nan,nan,nan
synthetic_brownian,H0_true,0,1,global_f,0,0.2929414117176564,0.24585408437997103,0.7070585882823436,nan,nan,nan
synthetic_brownian,H0_true,0,1,bayes_fpca,0,-0.04367183299019612,0.0015306109562516212,nan,0.5109162233245583,-0.04367183299019612,nan
synthetic_brownian,H1_true,1,1,rkbt,1,0.23075241245385147,123.11947301309556,nan,0.44256651618654935,0.23075241245385147,2.52615625
synthetic_brownian,H1_true,1,1,point_bonferroni_t,0,0.0,0.001619693823158741,1.0,nan,nan,nan
synthetic_brownian,H1_true,1,1,global_l2,0,0.9140171965606878,0.08041878696531057,0.08598280343931214,nan,nan,nan
synthetic_brownian,H1_true,1,1,global_l2_fpca,0,0.8264347130573886,18.29309267923236,0.17356528694261147,nan,nan,nan
synthetic_brownian,H1_true,1,1,global_f,0,0.907618476304739,0.24644913338124752,0.09238152369526095,nan,nan,nan
synthetic_brownian,H1_true,1,1,bayes_fpca,1,0.38574462128466114,0.0015673264861106873,nan,0.4047421148368624,0.38574462128466114,nan
synthetic_brownian,H0_true,0,2,rkbt,0,-0.6237328289259795,124.08208244852722,nan,0.6510670454633487,-0.6237328289259795,2.46503125
synthetic_brownian,H0_true,0,2,point_bonferroni_t,0,0.0,0.0018013399094343185,1.0,nan,nan,nan
synthetic_brownian,H0_true,0,2,global_l2,0,0.6588682263547291,0.07784197013825178,0.3411317736452709,nan,nan,nan
synthetic_brownian,H0_true,0,2,global_l2_fpca,0,0.6888622275544891,18.38720950204879,0.3111377724455109,nan,nan,nan
synthetic_brownian,H0_true,0,2,global_f,0,0.6524695060987802,0.2475391747429967,0.34753049390121976,nan,nan,nan
synthetic_brownian,H0_true,0,2,bayes_fpca,1,0.021198245790085612,0.0015705479308962822,nan,0.4947006369969562,0.021198245790085612,nan
synthetic_brownian,H1_true,1,2,rkbt,0,-1.019882970661767,124.56507236231118,nan,0.7349498029432707,-1.019882970661767,2.4589375
synthetic_brownian,H1_true,1,2,point_bonferroni_t,0,0.0,0.0016416748985648155,1.0,nan,nan,nan
synthetic_brownian,H1_true,1,2,global_l2,0,0.014397120575884825,0.0789863197132945,0.9856028794241152,nan,nan,nan
synthetic_brownian,H1_true,1,2,global_l2_fpca,0,0.12017596480703863,18.50461481139064,0.8798240351929614,nan,nan,nan
synthetic_brownian,H1_true,1,2,global_f,0,0.013997200559888068,0.25200118497014046,0.9860027994401119,nan,nan,nan
synthetic_brownian,H1_true,1,2,bayes_fpca,0,-0.057668916920722624,0.0015748599544167519,nan,0.5144132349388406,-0.057668916920722624,nan
synthetic_brownian,H0_true,0,3,rkbt,0,-0.5703942390746485,120.98407175578177,nan,0.6388541387804487,-0.5703942390746485,2.49390625
synthetic_brownian,H0_true,0,3,point_bonferroni_t,0,0.0,0.0016831429675221443,1.0,nan,nan,nan
synthetic_brownian,H0_true,0,3,global_l2,0,0.14737052589482103,0.07761370297521353,0.852629474105179,nan,nan,nan
synthetic_brownian,H0_true,0,3,global_l2_fpca,0,0.4219156168766247,18.432351781986654,0.5780843831233753,nan,nan,nan
synthetic_brownian,H0_true,0,3,global_f,0,0.1371725654869026,0.2519710613414645,0.8628274345130974,nan,nan,nan
synthetic_brownian,H0_true,0,3,bayes_fpca,0,-0.04063621650962865,0.0015785377472639084,nan,0.510157656385938,-0.04063621650962865,nan
synthetic_brownian,H1_true,1,3,rkbt,1,7.972314612039716,134.38467194978148,nan,0.00034476089734398357,7.972314612039716,3.2106875
synthetic_brownian,H1_true,1,3,point_bonferroni_t,1,0.9993513500931681,0.0016055479645729065,0.0006486499068319319,nan,nan,nan
synthetic_brownian,H1_true,1,3,global_l2,1,0.9996000799840032,0.07976474054157734,0.0003999200159968006,nan,nan,nan
synthetic_brownian,H1_true,1,3,global_l2_fpca,1,0.9998000399920016,18.24427525419742,0.0001999600079984003,nan,nan,nan
synthetic_brownian,H1_true,1,3,global_f,1,0.9996000799840032,0.25043072272092104,0.0003999200159968006,nan,nan,nan
synthetic_brownian,H1_true,1,3,bayes_fpca,1,12.66554959974301,0.0015479829162359238,nan,3.158059637353716e-06,12.66554959974301,nan
synthetic_brownian,H0_true,0,4,rkbt,0,-0.49578691375082334,122.30531077738851,nan,0.6214687306765061,-0.49578691375082334,2.49784375
synthetic_brownian,H0_true,0,4,point_bonferroni_t,0,0.0,0.0016982033848762512,1.0,nan,nan,nan
synthetic_brownian,H0_true,0,4,global_l2,0,0.4123175364927014,0.07537104468792677,0.5876824635072986,nan,nan,nan
synthetic_brownian,H0_true,0,4,global_l2_fpca,0,0.3865226954609078,18.202354855835438,0.6134773045390922,nan,nan,nan
synthetic_brownian,H0_true,0,4,global_f,0,0.4157168566286743,0.24829337373375893,0.5842831433713257,nan,nan,nan
synthetic_brownian,H0_true,0,4,bayes_fpca,0,-0.0339201743380349,0.001558590680360794,nan,0.5084792305985895,-0.0339201743380349,nan
synthetic_brownian,H1_true,1,4,rkbt,1,8.059846389481809,135.79385476745665,nan,0.0003158755298318249,8.059846389481809,3.17115625
synthetic_brownian,H1_true,1,4,point_bonferroni_t,1,0.9996304429765119,0.0017033601179718971,0.00036955702348807895,nan,nan,nan
synthetic_brownian,H1_true,1,4,global_l2,1,0.9998000399920016,0.07487488724291325,0.0001999600079984003,nan,nan,nan
synthetic_brownian,H1_true,1,4,global_l2_fpca,1,0.9998000399920016,18.2924565365538,0.0001999600079984003,nan,nan,nan
synthetic_brownian,H1_true,1,4,global_f,1,0.9998000399920016,0.2517724968492985,0.0001999600079984003,nan,nan,nan
synthetic_brownian,H1_true,1,4,bayes_fpca,1,9.467874716939926,0.0015457943081855774,nan,7.728953374053216e-05,9.467874716939926,nan
synthetic_brownian,H0_true,0,5,rkbt,0,-0.433640799656552,124.83311646524817,nan,0.6067427218223356,-0.433640799656552,2.4689375
synthetic_brownian,H0_true,0,5,point_bonferroni_t,0,0.0,0.0017599444836378098,1.0,nan,nan,nan
synthetic_brownian,H0_true,0,5,global_l2,0,0.6860627874425115,0.07643813453614712,0.3139372125574885,nan,nan,nan
synthetic_brownian,H0_true,0,5,global_l2_fpca,0,0.3579284143171366,18.542790224775672,0.6420715856828634,nan,nan,nan
synthetic_brownian,H0_true,0,5,global_f,0,0.6624675064987002,0.2548295250162482,0.3375324935012997,nan,nan,nan
synthetic_brownian,H0_true,0,5,bayes_fpca,0,-0.03855437643635541,0.0015594866126775742,nan,0.509637400353927,-0.03855437643635541,nan
synthetic_brownian,H1_true,1,5,rkbt,1,4.0752806405912025,132.72184749972075,nan,0.01670369353819413,4.0752806405912025,2.987
synthetic_brownian,H1_true,1,5,point_bonferroni_t,1,0.9906704254572939,0.0017994968220591545,0.009329574542706129,nan,nan,nan
synthetic_brownian,H1_true,1,5,global_l2,1,0.9996000799840032,0.07670634612441063,0.0003999200159968006,nan,nan,nan
synthetic_brownian,H1_true,1,5,global_l2_fpca,1,0.9962007598480304,18.4793956046924,0.003799240151969606,nan,nan,nan
synthetic_brownian,H1_true,1,5,global_f,1,0.9992001599680064,0.26725935842841864,0.0007998400319936012,nan,nan,nan
synthetic_brownian,H1_true,1,5,bayes_fpca,1,4.0958747681792005,0.0015785880386829376,nan,0.016368786765112775,4.0958747681792005,nan
