dataset,scenario,is_alternative,replicate,method,reject,score,runtime_sec,pvalue,posterior_null_prob,log_bf10,posterior_mean_p
synthetic_ou,H0_true,0,0,rkbt,0,-0.3898564345285551,119.5027861976996,nan,0.5962481383545977,-0.3898564345285551,2.525125
synthetic_ou,H0_true,0,0,point_bonferroni_t,0,0.0,0.0017258357256650925,1.0,nan,nan,nan
synthetic_ou,H0_true,0,0,global_l2,0,0.6450709858028394,0.08489745482802391,0.35492901419716055,nan,nan,nan
synthetic_ou,H0_true,0,0,global_l2_fpca,0,0.9162167566486703,18.049257779493928,0.08378324335132974,nan,nan,nan
synthetic_ou,H0_true,0,0,global_f,0,0.6500699860027994,0.2600558213889599,0.3499300139972006,nan,nan,nan
synthetic_ou,H0_true,0,0,bayes_fpca,1,0.573055298853232,0.0016360310837626457,nan,0.3605321298984494,0.573055298853232,nan
synthetic_ou,H1_true,1,0,rkbt,1,0.4706713760354593,120.73489135410637,nan,0.38445735021999505,0.4706713760354593,2.6750625
synthetic_ou,H1_true,1,0,point_bonferroni_t,0,0.5947318359207985,0.0014216965064406395,0.4052681640792016,nan,nan,nan
synthetic_ou,H1_true,1,0,global_l2,0,0.8416316736652669,0.07424918003380299,0.15836832633473305,nan,nan,nan
synthetic_ou,H1_true,1,0,global_l2_fpca,1,0.9796040791841631,17.91364026814699,0.020395920815836834,nan,nan,nan
synthetic_ou,H1_true,1,0,global_f,0,0.8406318736252749,0.25234965793788433,0.15936812637472506,nan,nan,nan
synthetic_ou,H1_true,1,0,bayes_fpca,1,1.8689905826543978,0.0015122340992093086,nan,0.1336585637401625,1.8689905826543978,nan
synthetic_ou,H0_true,0,1,rkbt,0,-0.5423630578876784,121.02283575106412,nan,0.6323619538015045,-0.5423630578876784,2.5351875
synthetic_ou,H0_true,0,1,point_bonferroni_t,0,0.0,0.0013748956844210625,1.0,nan,nan,nan
synthetic_ou,H0_true,0,1,global_l2,0,0.609878024395121,0.07456409279257059,0.39012197560487905,nan,nan,nan
synthetic_ou,H0_true,0,1,global_l2_fpca,1,0.9724055188962207,17.865024692378938,0.027594481103779243,nan,nan,nan
synthetic_ou,H0_true,0,1,global_f,0,0.6090781843631274,0.2532153259962797,0.3909218156368726,nan,nan,nan
synthetic_ou,H0_true,0,1,bayes_fpca,1,1.7736759447346993,0.0015016691759228706,nan,0.14508578471016498,1.7736759447346993,nan
synthetic_ou,H1_true,1,1,rkbt,1,2.7679561352445337,127.97507388144732,nan,0.05908052961074597,2.7679561352445337,2.881
synthetic_ou,H1_true,1,1,point_bonferroni_t,1,0.9679959931290549,0.0014125211164355278,0.03200400687094512,nan,nan,nan
synthetic_ou,H1_true,1,1,global_l2,1,0.9916016796640672,0.0778594184666872,0.008398320335932814,nan,nan,nan
synthetic_ou,H1_true,1,1,global_l2_fpca,1,0.9860027994401119,17.87596824578941,0.013997200559888023,nan,nan,nan
synthetic_ou,H1_true,1,1,global_f,1,0.9894021195760848,0.2550177089869976,0.010597880423915218,nan,nan,nan
synthetic_ou,H1_true,1,1,bayes_fpca,1,2.378449506052859,0.0015109609812498093,nan,0.0848308602257154,2.378449506052859,nan
synthetic_ou,H0_true,0,2,rkbt,0,-1.3144270227388934,122.76560134906322,nan,0.7882530140543553,-1.3144270227388934,2.44190625
synthetic_ou,H0_true,0,2,point_bonferroni_t,0,0.0,0.0014931969344615936,1.0,nan,nan,nan
synthetic_ou,H0_true,0,2,global_l2,0,0.5930813837232554,0.0798144144937396,0.40691861627674464,nan,nan,nan
synthetic_ou,H0_true,0,2,global_l2_fpca,0,0.8090381923615277,18.369061175733805,0.19096180763847231,nan,nan,nan
synthetic_ou,H0_true,0,2,global_f,0,0.5862827434513098,0.2502365419641137,0.41371725654869024,nan,nan,nan
synthetic_ou,H0_true,0,2,bayes_fpca,1,0.02690207260580335,0.001544189639389515,nan,0.4932748874360422,0.02690207260580335,nan
synthetic_ou,H1_true,1,2,rkbt,1,2.0202276329602387,128.88762027490884,nan,0.11709545519356991,2.0202276329602387,2.90109375
synthetic_ou,H1_true,1,2,point_bonferroni_t,0,0.762093403769506,0.0015362007543444633,0.23790659623049407,nan,nan,nan
synthetic_ou,H1_true,1,2,global_l2,0,0.9432113577284543,0.08311503380537033,0.05678864227154569,nan,nan,nan
synthetic_ou,H1_true,1,2,global_l2_fpca,0,0.9362127574485103,18.48282967414707,0.0637872425514897,nan,nan,nan
synthetic_ou,H1_true,1,2,global_f,0,0.9336132773445311,0.26047172769904137,0.06638672265546891,nan,nan,nan
synthetic_ou,H1_true,1,2,bayes_fpca,1,0.6497139307667368,0.0015532569959759712,nan,0.34305400526963126,0.6497139307667368,nan
synthetic_ou,H0_true,0,3,rkbt,0,-1.4959477705997197,118.1688992837444,nan,0.8169693226208656,-1.4959477705997197,2.44265625
synthetic_ou,H0_true,0,3,point_bonferroni_t,0,0.0,0.0015023117884993553,1.0,nan,nan,nan
synthetic_ou,H0_true,0,3,global_l2,0,0.1655668866226755,0.08242962043732405,0.8344331133773245,nan,nan,nan
synthetic_ou,H0_true,0,3,global_l2_fpca,0,0.1487702459508098,18.200905094854534,0.8512297540491902,nan,nan,nan
synthetic_ou,H0_true,0,3,global_f,0,0.15576884623075382,0.247023175470531,0.8442311537692462,nan,nan,nan
synthetic_ou,H0_true,0,3,bayes_fpca,0,-0.47521772807842255,0.0015613632276654243,nan,0.616617976799673,-0.47521772807842255,nan
synthetic_ou,H1_true,1,3,rkbt,1,21.511636744620834,137.26706686615944,nan,4.545847527147121e-10,21.511636744620834,3.672
synthetic_ou,H1_true,1,3,point_bonferroni_t,1,0.9999997597131652,0.0015166951343417168,2.4028683477112137e-07,nan,nan,nan
synthetic_ou,H1_true,1,3,global_l2,1,0.9998000399920016,0.08097793068736792,0.0001999600079984003,nan,nan,nan
synthetic_ou,H1_true,1,3,global_l2_fpca,1,0.9998000399920016,17.928091251291335,0.0001999600079984003,nan,nan,nan
synthetic_ou,H1_true,1,3,global_f,1,0.9996000799840032,0.24798978865146637,0.0003999200159968006,nan,nan,nan
synthetic_ou,H1_true,1,3,bayes_fpca,1,23.795124598037855,0.001527460291981697,nan,1.000000082740371e-10,23.795124598037855,nan
synthetic_ou,H0_true,0,4,rkbt,0,-0.9973340757192608,120.05376553349197,nan,0.7305341033451825,-0.9973340757192608,2.440125
synthetic_ou,H0_true,0,4,point_bonferroni_t,0,0.0,0.0014429101720452309,1.0,nan,nan,nan
synthetic_ou,H0_true,0,4,global_l2,0,0.5296940611877625,0.0767904706299305,0.47030593881223753,nan,nan,nan
synthetic_ou,H0_true,0,4,global_l2_fpca,0,0.8572285542891421,17.98891102336347,0.14277144571085784,nan,nan,nan
synthetic_ou,H0_true,0,4,global_f,0,0.5306938612277545,0.24819515831768513,0.46930613877224553,nan,nan,nan
synthetic_ou,H0_true,0,4,bayes_fpca,1,0.035593245672209006,0.0015075253322720528,nan,0.4911026278867072,0.035593245672209006,nan
synthetic_ou,H1_true,1,4,rkbt,1,7.957589239302122,131.6977117639035,nan,0.00034987340324527696,7.957589239302122,3.103875
synthetic_ou,H1_true,1,4,point_bonferroni_t,1,0.9998458230495371,0.0015238430351018906,0.00015417695046290346,nan,nan,nan
synthetic_ou,H1_true,1,4,global_l2,1,0.9998000399920016,0.07838734053075314,0.0001999600079984003,nan,nan,nan
synthetic_ou,H1_true,1,4,global_l2_fpca,1,0.9996000799840032,18.054240878671408,0.0003999200159968006,nan,nan,nan
synthetic_ou,H1_true,1,4,global_f,1,0.9998000399920016,0.25285807251930237,0.0001999600079984003,nan,nan,nan
synthetic_ou,H1_true,1,4,bayes_fpca,1,9.99626692736126,0.0015220968052744865,nan,4.55676512296499e-05,9.99626692736126,nan
synthetic_ou,H0_true,0,5,rkbt,0,-1.3301072871293649,123.26991590484977,nan,0.7908583807823386,-1.3301072871293649,2.454
synthetic_ou,H0_true,0,5,point_bonferroni_t,0,0.0,0.0015447428449988365,1.0,nan,nan,nan
synthetic_ou,H0_true,0,5,global_l2,0,0.42471505698860224,0.08228937163949013,0.5752849430113978,nan,nan,nan
synthetic_ou,H0_true,0,5,global_l2_fpca,0,0.7022595480903819,18.07317758537829,0.29774045190961806,nan,nan,nan
synthetic_ou,H0_true,0,5,global_f,0,0.4199160167966407,0.25131792668253183,0.5800839832033593,nan,nan,nan
synthetic_ou,H0_true,0,5,bayes_fpca,0,-0.07118508616739971,0.0015533287078142166,nan,0.5177887604029345,-0.07118508616739971,nan
synthetic_ou,H1_true,1,5,rkbt,1,4.000250285130793,132.12757166009396,nan,0.01798178978263425,4.000250285130793,3.0620625
