dataset,scenario,is_alternative,replicate,method,reject,score,runtime_sec,pvalue,posterior_null_prob,log_bf10,posterior_mean_p
synthetic_sqexp,H0_true,0,0,rkbt,1,0.02308749818576683,117.93471492268145,nan,0.4942283818229878,0.02308749818576683,2.4846875
synthetic_sqexp,H0_true,0,0,point_bonferroni_t,0,0.0561393108161542,0.0017896126955747604,0.9438606891838458,nan,nan,nan
synthetic_sqexp,H0_true,0,0,global_l2,0,0.6410717856428714,0.08693813998252153,0.35892821435712857,nan,nan,nan
synthetic_sqexp,H0_true,0,0,global_l2_fpca,1,0.9676064787042592,17.72565256524831,0.03239352129574085,nan,nan,nan
synthetic_sqexp,H0_true,0,0,global_f,0,0.647870425914817,0.25707623455673456,0.352129574085183,nan,nan,nan
synthetic_sqexp,H0_true,0,0,bayes_fpca,1,2.4101691939454515,0.0015904195606708527,nan,0.08240052435507628,2.4101691939454515,nan
synthetic_sqexp,H1_true,1,0,rkbt,1,1.271871742379197,122.97477160394192,nan,0.218937009032738,1.271871742379197,2.813875
synthetic_sqexp,H1_true,1,0,point_bonferroni_t,0,0.0,0.001415909267961979,1.0,nan,nan,nan
synthetic_sqexp,H1_true,1,0,global_l2,0,0.8852229554089182,0.07772382441908121,0.11477704459108179,nan,nan,nan
synthetic_sqexp,H1_true,1,0,global_l2_fpca,1,0.998000399920016,17.659325489774346,0.001999600079984003,nan,nan,nan
synthetic_sqexp,H1_true,1,0,global_f,0,0.8868226354729054,0.24520264565944672,0.11317736452709458,nan,nan,nan
synthetic_sqexp,H1_true,1,0,bayes_fpca,1,6.613345400945429,0.0014695674180984497,nan,0.0013405345390755663,6.613345400945429,nan
synthetic_sqexp,H0_true,0,1,rkbt,0,-1.0172289749330952,119.24834381043911,nan,0.7344324860449153,-1.0172289749330952,2.479375
synthetic_sqexp,H0_true,0,1,point_bonferroni_t,0,0.0,0.0014928849413990974,1.0,nan,nan,nan
synthetic_sqexp,H0_true,0,1,global_l2,0,0.5142971405718857,0.08181274216622114,0.48570285942811436,nan,nan,nan
synthetic_sqexp,H0_true,0,1,global_l2_fpca,0,0.9414117176564687,17.56864587403834,0.05858828234353129,nan,nan,nan
synthetic_sqexp,H0_true,0,1,global_f,0,0.523495300939812,0.24876530095934868,0.47650469906018794,nan,nan,nan
