dataset,scenario,is_alternative,replicate,method,reject,score,runtime_sec,pvalue,posterior_null_prob,log_bf10,posterior_mean_p
synthetic_sqexp,H0_true,0,0,rkbt,0,0.02308749818576683,109.03080211300403,nan,0.4942283818229878,0.02308749818576683,2.4846875
synthetic_sqexp,H0_true,0,0,point_bonferroni_t,0,0.0561393108161542,0.029494911432266235,0.9438606891838458,nan,nan,nan
synthetic_sqexp,H0_true,0,0,global_l2,0,0.6410717856428714,0.09017041232436895,0.35892821435712857,nan,nan,nan
synthetic_sqexp,H0_true,0,0,global_l2_fpca,1,0.9676064787042592,18.436526498757303,0.03239352129574085,nan,nan,nan
synthetic_sqexp,H0_true,0,0,global_f,0,0.647870425914817,0.2675125068053603,0.352129574085183,nan,nan,nan
synthetic_sqexp,H0_true,0,0,bayes_fpca,1,2.410169193945455,0.011444632895290852,nan,0.08240052435507605,2.410169193945455,nan
synthetic_sqexp,H1_true,1,0,rkbt,1,4.772411480804139,117.4658534526825,nan,0.00838898409991174,4.772411480804139,2.76571875
synthetic_sqexp,H1_true,1,0,point_bonferroni_t,1,0.9835034276553817,0.0018276600167155266,0.016496572344618286,nan,nan,nan
synthetic_sqexp,H1_true,1,0,global_l2,1,0.998000399920016,0.06841510720551014,0.001999600079984003,nan,nan,nan
synthetic_sqexp,H1_true,1,0,global_l2_fpca,1,0.9988002399520096,16.868909765966237,0.0011997600479904018,nan,nan,nan
synthetic_sqexp,H1_true,1,0,global_f,1,0.9984003199360127,0.21812264900654554,0.0015996800639872025,nan,nan,nan
synthetic_sqexp,H1_true,1,0,bayes_fpca,1,7.266686432803531,0.0013239560648798943,nan,0.0006979349799650647,7.266686432803531,nan
synthetic_sqexp,H0_true,0,1,rkbt,0,-1.0172289749330952,119.25381277129054,nan,0.7344324860449153,-1.0172289749330952,2.479375
synthetic_sqexp,H0_true,0,1,point_bonferroni_t,0,0.0,0.002294408157467842,1.0,nan,nan,nan
synthetic_sqexp,H0_true,0,1,global_l2,0,0.5142971405718857,0.12296696659177542,0.48570285942811436,nan,nan,nan
synthetic_sqexp,H0_true,0,1,global_l2_fpca,0,0.9414117176564687,21.041401889175177,0.05858828234353129,nan,nan,nan
synthetic_sqexp,H0_true,0,1,global_f,0,0.523495300939812,0.375441781245172,0.47650469906018794,nan,nan,nan
synthetic_sqexp,H0_true,0,1,bayes_fpca,1,1.8580988661232598,0.0016437573358416557,nan,0.13492479851151873,1.8580988661232598,nan
synthetic_sqexp,H1_true,1,1,rkbt,0,1.010543112261759,123.93597870785743,nan,0.2668735762693766,1.010543112261759,2.88421875
synthetic_sqexp,H1_true,1,1,point_bonferroni_t,0,0.0,0.0021424824371933937,1.0,nan,nan,nan
synthetic_sqexp,H1_true,1,1,global_l2,0,0.8748250349930013,0.10919506289064884,0.1251749650069986,nan,nan,nan
synthetic_sqexp,H1_true,1,1,global_l2_fpca,1,0.9944011197760448,20.764346024021506,0.005598880223955209,nan,nan,nan
